-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  41.929   Longitude -87.7068 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 180.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
TS                    MERRA-2 Earth Skin Temperature (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE             MERRA-2 Temperature at 2 Meters Range (C) 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,1981,-0.95,-0.65,1.76,6.69,8.58,16.61,21.33,20.92,17.74,11.3,7.32,2.62,9.5
TS,1982,-3.13,-2.29,1.42,3.63,8.07,9.55,16.47,14.81,15.54,9.4,5.91,3.56,6.97
TS,1983,1.67,0.88,2.68,4.66,7.58,13.45,16.41,16.51,15.94,11.12,7.4,-0.22,8.21
TS,1984,-3.23,0.78,0.37,3.7,6.11,10.08,15.44,17.51,15.1,12.46,5.65,2.07,7.19
TS,1985,-3.28,-4.39,2.27,5.94,8.69,13.04,18.78,17.07,14.96,11.19,6.73,-0.44,7.62
TS,1986,-1.39,-1.8,1.45,5.0,8.33,9.76,16.24,17.98,15.98,12.1,5.59,2.31,7.69
TS,1987,0.67,1.05,2.73,5.59,10.04,15.75,18.84,19.26,16.94,9.99,6.85,2.05,9.19
TS,1988,-2.02,-1.15,1.87,4.57,8.29,15.29,20.81,22.77,16.31,9.85,5.89,1.23,8.68
TS,1989,0.98,-0.97,0.93,3.92,7.92,13.43,18.9,19.25,16.26,11.8,5.34,-1.23,8.1
TS,1990,1.05,0.3,2.37,4.66,7.2,12.67,17.22,19.19,17.84,11.08,7.03,1.94,8.59
TS,1991,-0.79,0.75,2.56,5.39,9.85,17.2,21.05,20.43,17.58,10.77,4.06,1.74,9.26
TS,1992,0.66,0.98,1.94,4.35,7.94,14.08,17.51,18.47,16.42,11.19,5.0,1.83,8.39
TS,1993,-0.33,-0.7,1.05,4.01,7.8,12.44,18.24,20.94,15.33,9.0,4.65,1.4,7.87
TS,1994,-3.19,-3.99,0.98,4.67,7.21,12.83,18.16,18.2,17.01,12.33,7.9,2.99,8.0
TS,1995,0.33,-0.71,2.13,3.8,7.36,14.44,20.63,22.51,16.96,12.13,3.8,0.62,8.73
TS,1996,-0.92,-1.31,-0.25,3.44,6.16,11.18,16.54,20.76,17.83,12.3,4.74,1.72,7.72
TS,1997,-1.57,-0.5,1.5,3.99,7.04,12.35,19.53,20.7,18.77,14.28,6.9,3.26,8.91
TS,1998,0.87,2.26,2.95,6.24,12.16,17.47,22.81,23.73,21.46,14.91,8.71,4.77,11.58
TS,1999,-0.34,1.69,1.78,5.66,10.38,17.51,22.69,21.61,19.27,13.34,9.61,4.83,10.72
TS,2000,1.51,1.79,4.05,5.88,10.83,16.05,20.41,22.09,19.44,13.93,7.77,0.05,10.34
TS,2001,-0.03,0.55,1.58,5.87,9.31,14.9,20.92,21.73,17.36,11.68,8.93,5.26,9.9
TS,2002,2.4,1.75,1.83,5.48,7.69,14.55,22.04,21.69,19.03,11.96,6.23,2.91,9.84
TS,2003,-0.22,-0.67,1.57,4.42,6.99,12.11,18.62,21.61,17.95,12.43,7.91,3.08,8.87
TS,2004,0.43,0.69,3.1,6.01,9.98,15.17,20.61,20.49,20.3,14.25,9.08,4.08,10.37
TS,2005,1.0,1.48,2.01,6.32,9.3,18.87,23.9,24.53,21.64,14.93,8.16,1.64,11.2
TS,2006,2.56,1.22,2.98,6.8,10.11,17.01,23.15,23.36,18.94,12.06,7.18,3.63,10.81
TS,2007,1.96,-3.52,2.12,4.4,10.11,18.88,21.76,23.16,19.74,15.43,7.47,2.59,10.43
TS,2008,0.81,-3.32,-0.02,4.96,7.82,15.49,21.25,22.54,20.05,14.24,7.56,1.47,9.44
TS,2009,-2.79,-0.55,2.01,4.75,8.85,14.52,19.75,21.27,19.07,11.62,8.7,3.13,9.25
TS,2010,0.68,0.14,3.27,6.88,10.28,18.5,23.92,24.26,19.72,14.69,8.7,2.3,11.18
TS,2011,0.09,-0.89,1.16,4.94,8.02,14.19,22.94,23.24,18.94,13.52,8.87,4.01,9.99
TS,2012,2.04,1.47,6.4,7.43,13.15,19.37,25.16,23.48,19.64,13.01,7.4,5.16,12.01
TS,2013,1.07,-0.58,-0.32,4.84,10.33,16.31,21.8,21.98,20.26,14.25,6.35,0.53,9.8
TS,2014,-6.06,-8.05,-2.32,4.39,9.82,15.95,19.78,21.81,18.51,12.88,5.76,2.98,8.05
TS,2015,-0.77,-6.72,-0.72,5.26,10.65,15.31,20.58,22.26,20.16,13.86,9.28,5.56,9.66
TS,2016,0.05,-0.06,3.12,5.91,10.55,19.08,22.98,23.72,21.17,14.99,10.15,2.65,11.23
TS,2017,1.1,1.62,2.49,6.55,9.97,17.44,21.73,21.85,20.37,15.16,7.35,2.43,10.73
TS,2018,-1.48,-2.02,0.8,3.14,11.87,17.15,21.96,23.44,20.51,13.8,6.27,3.09,9.96
TS,2019,0.11,-1.64,-0.27,5.5,9.64,14.2,21.64,22.52,19.47,11.66,4.53,3.12,9.28
TS,2020,1.26,-0.24,2.51,5.31,9.34,17.51,24.12,23.53,19.55,12.49,7.73,3.32,10.57
TS,2021,1.18,-2.16,2.54,6.73,11.71,19.44,21.68,24.08,21.11,16.8,8.86,5.05,11.5
TS,2022,-0.1,-1.59,1.73,5.03,11.06,18.13,22.33,22.61,20.28,13.46,8.57,2.94,10.44
T2M,1981,-4.09,-2.31,1.9,8.05,10.11,18.36,21.66,21.37,17.24,10.32,5.88,-0.9,9.02
T2M,1982,-8.43,-4.3,0.99,4.51,12.6,12.37,19.35,17.8,16.36,10.69,4.69,2.23,7.48
T2M,1983,-1.01,0.01,2.9,5.21,9.45,16.5,20.83,20.41,17.04,11.44,6.31,-6.04,8.62
T2M,1984,-6.19,0.33,-0.88,5.17,8.85,14.45,18.59,20.56,15.76,12.75,4.33,0.4,7.86
T2M,1985,-7.17,-5.53,2.8,7.89,11.79,14.98,20.47,19.06,16.7,11.18,4.97,-5.67,7.69
T2M,1986,-3.71,-3.48,2.09,7.06,10.65,13.84,19.48,19.16,17.23,11.51,3.01,-0.12,8.13
T2M,1987,-1.97,0.37,2.97,6.92,12.91,18.57,21.66,20.58,17.37,8.72,6.15,0.22,9.58
T2M,1988,-5.93,-4.02,1.87,5.87,11.0,17.83,22.69,23.79,17.57,8.8,4.93,-1.48,8.61
T2M,1989,-0.7,-4.03,0.77,5.05,10.2,16.13,20.73,20.52,16.54,11.53,3.33,-5.88,7.92
